Id,Data,Nome,Data nascimento,CPF,CEP
1,18/02/2015,José Fernandes,25/07/1939,963.370.901-82,804332-426
2,30/03/2015,Ana Sousa,21/03/1998,368.625.649-84,878211-275
3,04/04/2015,António Pereira,13/03/1901,535.659.392-50,957606-943
4,30/06/2015,Inês Alves,09/03/1938,319.499.862-78,535207-744
5,20/10/2015,Carlos Pereira,13/08/1980,130.279.632-54,360480-993
6,25/02/2016,Sofia Rodrigues,17/04/1947,357.691.798-33,794747-675
7,13/05/2016,Margarida Ferreira,21/11/1988,958.421.972-17,502461-884
8,01/06/2016,Gonçalo Martins,04/11/1931,366.305.535-98,385627-581
9,09/12/2016,Miguel Santos,20/07/1945,332.576.723-37,331767-191
10,03/01/2017,Diogo Silva,23/02/1989,261.234.105-70,690822-843
11,06/02/2017,Ricardo Oliveira,09/12/1907,274.363.554-89,805906-637
12,13/04/2017,Tomás Silva,06/12/1942,342.558.258-39,505501-852
13,08/10/2017,Maria Costa,29/05/1990,276.741.265-41,853876-319
14,07/02/2018,Francisco Pereira,06/06/1911,732.555.589-29,549153-540
15,12/05/2018,Bárbara Sousa,01/08/1991,436.745.916-87,582346-313
16,16/05/2018,Ana Santos,21/03/1967,172.762.657-59,14166-653
17,11/06/2018,Bruno Costa,06/06/1988,271.722.925-55,975374-961
18,13/06/2018,Mariana Santos,31/10/1997,804.458.229-29,835227-882
19,20/02/2019,Diana Alves,04/06/1940,209.327.769-30,559130-203
20,31/03/2019,Inês Sousa,10/10/1931,890.496.127-76,935412-104
21,14/08/2019,Carolina Rodrigues,20/01/1997,871.173.684-41,414846-283
22,09/10/2019,Beatriz Ferreira,21/10/1983,146.202.548-52,808676-127
23,22/11/2019,Paulo Fernandes,01/11/1986,135.670.421-70,223276-349
24,18/05/2020,Tiago Martins,01/07/1965,731.463.502-14,367573-155
25,10/06/2020,André Silva,06/11/1943,380.943.352-95,212547-398
26,16/06/2020,Catarina Costa,21/02/1923,745.269.495-56,764302-161
27,22/02/2021,Nuno Martins,28/01/1957,713.136.923-88,472774-622
28,28/02/2021,Mafalda Santos,29/05/1994,634.203.757-27,176342-528
29,10/04/2021,Leonor Rodrigues,04/08/1943,653.421.773-44,525253-209
30,03/08/2021,Joana Gonçalves,22/08/1924,680.363.666-19,507644-229
31,11/11/2021,João Silva,12/06/1918,856.546.321-51,368606-848
32,11/09/2022,Vasco Costa,16/10/1931,695.440.145-58,318225-412
33,12/12/2022,Marta Ferreira,05/01/1951,173.581.806-62,951336-547
34,08/01/2023,Luís Almeida,14/07/1996,421.736.540-64,736975-850
35,14/03/2023,Rita Gonçalves,09/02/1921,257.367.921-93,782786-131
36,03/07/2023,Filipa Alves,09/07/1918,623.836.493-65,771157-526
37,23/08/2023,Pedro Oliveira,10/01/1910,230.872.370-83,644980-863
38,13/11/2023,Rui Oliveira,01/06/1938,421.148.473-70,533371-914
